time,lat,lon,alt,mlat
2021-10-04 02:03:00,52.799792231060856,-55.79178197653161,109.25878789924212,57.84549842193434
2021-10-04 02:03:01,52.85937316617697,-55.80362328417136,109.99155906622568,57.913145933241424
2021-10-04 02:03:02,52.921033102685016,-55.81668592733891,109.98109160195767,57.98077712462241
2021-10-04 02:03:03,52.9826887984448,-55.82977092911264,109.97310978016553,58.04839284915627
2021-10-04 02:03:04,53.046433500081214,-55.84409338956084,109.21056542059046,58.11599500419614
2021-10-04 02:03:05,53.10598133222457,-55.85600636648671,109.96632933580497,58.18357627741109
2021-10-04 02:03:06,53.167621136027904,-55.86916050384611,109.9668210903153,58.251145321669675
2021-10-04 02:03:07,53.22925887443026,-55.88233738934326,109.97017442479715,58.318702018140826
2021-10-04 02:03:08,53.2929890231489,-55.89677557487188,109.2048786472023,58.38623400532997
2021-10-04 02:03:09,53.352510218494224,-55.90876117597998,109.98523805610674,58.45375866669241
2021-10-04 02:03:10,53.414128568801154,-55.922008179031224,109.99697940853912,58.52126348798771
2021-10-04 02:03:11,53.47589393421861,-55.935369126143435,109.9556629265833,58.588753449033106
2021-10-04 02:03:12,53.53947037609209,-55.94983298159347,109.24430984424866,58.656229287100075
2021-10-04 02:03:13,53.5991101461751,-55.96198245644276,109.99365486018415,58.723690530290185
2021-10-04 02:03:14,53.660857635552745,-55.97541489642407,109.96015026501757,58.79112913686251
2021-10-04 02:03:15,53.72245376202669,-55.98878173755899,109.98636763496076,58.85855884429148
2021-10-04 02:03:16,53.78586892794809,-56.003271477864125,109.33096282356007,58.925971914224014
2021-10-04 02:03:17,53.845777208096415,-56.015679637729306,109.99094047511547,58.99336570466462
2021-10-04 02:03:18,53.907507728287925,-56.02921159087119,109.96858044136157,59.06074487193504
2021-10-04 02:03:19,53.96923245457024,-56.04276826813228,109.9490403119602,59.128107567036
2021-10-04 02:03:20,54.0321755622545,-56.057094509319114,109.46757116663551,59.195453680344215
2021-10-04 02:03:21,54.09251610708343,-56.069862454465465,109.97688455395256,59.26278848728175
2021-10-04 02:03:22,54.15422405419919,-56.08349462225573,109.96576249973519,59.33010132089767
2021-10-04 02:03:23,54.21592832480736,-56.09715194680666,109.95785336731308,59.39740071625654
2021-10-04 02:03:24,54.27839921308342,-56.111309144229544,109.65691065878751,59.46468583150228
2021-10-04 02:03:25,54.33931890735572,-56.12454215695482,109.95030254003113,59.53194723231533
2021-10-04 02:03:26,54.40100920085162,-56.13827532275869,109.95123407747175,59.59920008724576
2021-10-04 02:03:27,54.46269462919471,-56.15203517256768,109.95476629993622,59.66643619495525
2021-10-04 02:03:28,54.524526885825324,-56.1659161233633,109.90148847753309,59.73365420220718
2021-10-04 02:03:29,54.586043933344456,-56.17963069774154,109.97188966589843,59.800856417115405
2021-10-04 02:03:30,54.647709137949796,-56.193468925388636,109.98452676238357,59.868039294577315
2021-10-04 02:03:31,54.70952856509275,-56.207429885961695,109.93986241102296,59.93521175126389
2021-10-04 02:03:32,54.77118339293141,-56.22132050628741,109.95881790134919,60.002363035807505
2021-10-04 02:03:33,54.832836961525544,-56.23523601045104,109.98162356672358,60.069503980467644
2021-10-04 02:03:34,54.89463513923325,-56.2492758490474,109.94568250623841,60.13662158456303
2021-10-04 02:03:35,54.95627520060221,-56.26324679435451,109.97404854314115,60.203725252118105
2021-10-04 02:03:36,55.01806812428148,-56.277343387497545,109.94417874006048,60.270816726917204
2021-10-04 02:03:37,55.08189369000899,-56.292777272475114,109.10050883359986,60.33788704402896
2021-10-04 02:03:38,55.14147085842005,-56.30551501386737,109.95542106824128,60.404937173040466
2021-10-04 02:03:39,55.20308857789736,-56.31959066951275,109.9976907588683,60.471976649364336
2021-10-04 02:03:40,55.264856974533785,-56.33379674829277,109.97971862701276,60.53899820689876
2021-10-04 02:03:41,55.32772430008076,-56.34874904950052,109.51730812724408,60.60600231549403
2021-10-04 02:03:42,55.38837396830021,-56.362291443913556,109.95294029217935,60.672987928313894
2021-10-04 02:03:43,55.45012713132042,-56.376581583986834,109.94420504682328,60.739961097091054
2021-10-04 02:03:44,55.511873179443924,-56.39090006558986,109.93899693699011,60.80691712143023
2021-10-04 02:03:45,55.57361313355617,-56.40524553448439,109.93681834210406,60.87385522868249
2021-10-04 02:03:46,55.635348778730254,-56.419619487978274,109.93797850807664,60.94077833148547
2021-10-04 02:03:47,55.69707362746916,-56.43402203220697,109.9422946097564,61.007679059982266
2021-10-04 02:03:48,55.75879683997818,-56.44845456496281,109.94977588734066,61.07456710051567
2021-10-04 02:03:49,55.82051324086782,-56.462914650591976,109.96100036513246,61.14143811544828
2021-10-04 02:03:50,55.88447220291447,-56.47890728035773,109.04115201390825,61.208297024257874
2021-10-04 02:03:51,55.94392717220818,-56.491920392137764,109.99383377401318,61.27512831918532
2021-10-04 02:03:52,56.0057901397849,-56.50657604934754,109.94810726020084,61.341952504707706
2021-10-04 02:03:53,56.0674811597639,-56.521151823206075,109.97343748661783,61.40875513721028
2021-10-04 02:03:54,56.12997604473939,-56.53630592484592,109.66157388644798,61.47554278287392
2021-10-04 02:03:55,56.19100977883256,-56.55050293764796,109.96587923150295,61.54231107196357
2021-10-04 02:03:56,56.25284910840661,-56.56527840561955,109.93319912242,61.609067573316636
2021-10-04 02:03:57,56.31451641494446,-56.57997216180432,109.9725615304761,61.67580218735064
2021-10-04 02:03:58,56.37634032847945,-56.594808866910135,109.94618729559605,61.74252000064797
2021-10-04 02:03:59,56.43799543544096,-56.60956306425693,109.99314311343763,61.809221321244905
