time,lat,lon,alt,mlat
2021-08-31 06:04:00,40.968669339172955,-95.93311515889043,109.97854396497313,50.490853904629
2021-08-31 06:04:01,41.03218850586522,-95.94284739179622,109.53898799340745,50.549562874487954
2021-08-31 06:04:02,41.092593900054396,-95.95274863956932,109.98054626492517,50.60828022307197
2021-08-31 06:04:03,41.15449801719094,-95.96258480016795,109.99731403893135,50.66698652804594
2021-08-31 06:04:04,41.21721506346685,-95.97238915968697,109.78677368639877,50.72570161554992
2021-08-31 06:04:05,41.278515520057105,-95.98227702563318,109.97786297422931,50.784411863911025
2021-08-31 06:04:06,41.340428311505626,-95.99214888274261,109.99820606125995,50.84312903831562
2021-08-31 06:04:07,41.402432501055294,-96.0020235482358,109.99146812009539,50.901839971833674
2021-08-31 06:04:08,41.467264684694456,-96.01176304417585,109.17504398626095,50.96055141350389
2021-08-31 06:04:09,41.52644818431436,-96.02180709910209,109.98051187306278,51.01926841962509
2021-08-31 06:04:10,41.588453122880594,-96.03171443495528,109.9767223929503,51.07798113178323
2021-08-31 06:04:11,41.65227639618264,-96.04153998017777,109.44860223968419,51.136693048127306
2021-08-31 06:04:12,41.71245850072255,-96.05156602354519,109.97241853153989,51.19540379288807
2021-08-31 06:04:13,41.77446253853221,-96.06150675452399,109.97253042071284,51.25411946720119
2021-08-31 06:04:14,41.83727340224271,-96.07141644002986,109.7379183641654,51.312831774548954
2021-08-31 06:04:15,41.89846891969096,-96.08142546180035,109.97521831776999,51.371547612951645
2021-08-31 06:04:16,41.96046913845097,-96.09140376605176,109.97869288321243,51.43026092968634
2021-08-31 06:04:17,42.022469522318914,-96.10139207489328,109.98255865005362,51.48897252849408
2021-08-31 06:04:18,42.08730651487911,-96.11124029739524,109.15454312056602,51.5476846928732
2021-08-31 06:04:19,42.146463401384615,-96.12140340859999,109.99482082710962,51.606394083480794
2021-08-31 06:04:20,42.20856330392938,-96.13142097345148,109.97315005377946,51.66510826779094
2021-08-31 06:04:21,42.272285905541686,-96.14136076221679,109.47148231599812,51.72381976908203
2021-08-31 06:04:22,42.33255801789669,-96.15150377162976,109.9924457035289,51.78253356917999
2021-08-31 06:04:23,42.39465365558324,-96.16155822025857,109.97369298559464,51.84124360056018
2021-08-31 06:04:24,42.457256096151795,-96.17159539988874,109.8046005488458,51.89995290755375
2021-08-31 06:04:25,42.518738549221595,-96.1817044944186,109.97005317858479,51.95866152489077
2021-08-31 06:04:26,42.580731724259365,-96.19180018184663,109.98536217587116,52.01737294965019
2021-08-31 06:04:27,42.642825202141246,-96.2019009373615,109.97092137910694,52.07608197793943
2021-08-31 06:04:28,42.707261841902564,-96.21188618517606,109.25293790651602,52.134792682708074
2021-08-31 06:04:29,42.766904974882145,-96.22214644176111,109.9771068237361,52.193499007428336
2021-08-31 06:04:30,42.828891251787745,-96.23229116889863,109.99684192713103,52.252203553031734
2021-08-31 06:04:31,42.89220494113056,-96.24237262526833,109.61668167217465,52.31091236729481
2021-08-31 06:04:32,42.95307162078165,-96.2526061094921,109.97922870282629,52.36961949835778
2021-08-31 06:04:33,43.015158568189804,-96.26278026371952,109.9721654410455,52.42832537874212
2021-08-31 06:04:34,43.07713999431257,-96.27297139429521,109.99733616082295,52.487027935803006
2021-08-31 06:04:35,43.14218798147893,-96.2830049859622,109.08498414101162,52.545730295967864
2021-08-31 06:04:36,43.201308924880855,-96.29338723760152,109.9891585079031,52.60443534674294
2021-08-31 06:04:37,43.26339102143157,-96.30361219888285,109.98686384560071,52.66313719381161
2021-08-31 06:04:38,43.32710796258542,-96.31375443880215,109.48045202827741,52.72183588219075
2021-08-31 06:04:39,43.3875522837793,-96.32410026163544,109.98570690147561,52.780537875552895
2021-08-31 06:04:40,43.449633501480925,-96.33436542208638,109.98714066964607,52.839239355534616
2021-08-31 06:04:41,43.51201504706785,-96.34462251716434,109.8941536761648,52.897933941330535
2021-08-31 06:04:42,43.57378290415912,-96.35492897121307,109.99390799288867,52.956631027552575
2021-08-31 06:04:43,43.635859979406185,-96.36523107589623,109.99860206472546,53.015327375940274
2021-08-31 06:04:44,43.69803651023402,-96.37554100975146,109.97288694604494,53.07402205066173
2021-08-31 06:04:45,43.76195945802541,-96.38575993422847,109.40019096987486,53.132716784925826
2021-08-31 06:04:46,43.822178772574766,-96.39620873643248,109.98972508086024,53.191407354194865
2021-08-31 06:04:47,43.8842503356705,-96.40656814072183,109.99930378194544,53.2500975284779
2021-08-31 06:04:48,43.94683476279275,-96.41690534131519,109.84832236030967,53.30878894060083
2021-08-31 06:04:49,44.00848877558561,-96.42730793360863,109.99151175779119,53.36747669039183
2021-08-31 06:04:50,44.070658096248806,-96.43769969142178,109.97260637587203,53.426162850702326
2021-08-31 06:04:51,44.13272023523336,-96.44810804673608,109.98779679388537,53.48484543460968
2021-08-31 06:04:52,44.196741756621336,-96.45841065228022,109.37919560923709,53.5435298928258
2021-08-31 06:04:53,44.25695019465182,-96.46895765401051,109.98969108493013,53.60221411881797
2021-08-31 06:04:54,44.31911304281094,-96.47940093996021,109.97585414157992,53.66089406169663
2021-08-31 06:04:55,44.38158624341412,-96.489837871563,109.86355302750522,53.71957444012046
2021-08-31 06:04:56,44.44333159574803,-96.50033353827344,109.98546153672677,53.7782505918248
2021-08-31 06:04:57,44.50549271008702,-96.51081856802037,109.97542414778506,53.83692822386624
2021-08-31 06:04:58,44.56764966195793,-96.52131642377046,109.96678325418071,53.89560210899955
2021-08-31 06:04:59,44.631463763296345,-96.53172463828692,109.42049683241945,53.95427508574646
