date/time,PINALat,GILLlat,ClosestStation,Elevation [deg],ELFINeflux [erg/cm^2/s],ELFINenergy [keV]
2022-09-04/04:18:27,61.0504,63.0854,pina,NaN,-1,-1
2022-09-04/04:18:28,61.0504,63.0854,pina,NaN,-1,-1
2022-09-04/04:18:29,61.0504,63.0032,pina,NaN,-1,-1
2022-09-04/04:18:30,61.0504,62.8285,pina,NaN,-1,-1
2022-09-04/04:18:31,61.0504,62.8285,pina,NaN,-1,-1
2022-09-04/04:18:32,61.0504,62.759,pina,NaN,-1,-1
2022-09-04/04:18:33,61.0504,62.759,pina,NaN,-1,-1
2022-09-04/04:18:34,61.0504,62.5311,pina,NaN,-1,-1
2022-09-04/04:18:35,61.0504,62.5311,pina,NaN,-1,-1
2022-09-04/04:18:36,61.0504,62.5311,pina,NaN,-1,-1
2022-09-04/04:18:37,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:38,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:39,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:40,61.0504,62.3182,pina,NaN,-1,-1
2022-09-04/04:18:41,61.0504,62.1192,pina,NaN,-1,-1
2022-09-04/04:18:42,61.0504,62.1192,pina,NaN,-1,-1
2022-09-04/04:18:43,61.0504,62.1192,pina,NaN,-1,-1
2022-09-04/04:18:44,61.0504,61.933,pina,NaN,-1,-1
2022-09-04/04:18:45,61.0504,61.933,pina,NaN,-1,-1
2022-09-04/04:18:46,60.7201,61.933,pina,NaN,-1,-1
2022-09-04/04:18:47,60.7201,61.7588,pina,NaN,-1,-1
2022-09-04/04:18:48,60.5583,61.7588,pina,NaN,-1,-1
2022-09-04/04:18:49,60.5583,61.5956,pina,NaN,-1,-1
2022-09-04/04:18:50,60.5583,61.5956,pina,NaN,-1,-1
2022-09-04/04:18:51,60.5583,61.5956,pina,NaN,-1,-1
2022-09-04/04:18:52,60.5583,61.4427,pina,NaN,-1,-1
2022-09-04/04:18:53,60.5583,61.4427,pina,NaN,0.0442472,0.756
2022-09-04/04:18:54,60.5583,61.3095,pina,NaN,0.0442472,0.756
2022-09-04/04:18:55,60.5583,61.2992,pina,NaN,0.0442472,0.756
2022-09-04/04:18:56,60.5583,61.1801,gill,5.85122,-1,-1
2022-09-04/04:18:57,60.5583,61.1646,gill,6.1124,-1,-1
2022-09-04/04:18:58,60.5583,61.0585,gill,6.03212,-1,-1
2022-09-04/04:18:59,60.5583,61.038,gill,6.31464,-1,-1
2022-09-04/04:19:00,60.5583,60.9191,gill,6.50325,0.091809,0.839
2022-09-04/04:19:01,60.5583,60.9191,gill,6.50325,0.091809,0.839
2022-09-04/04:19:02,60.5583,60.8072,gill,6.67819,-1,-1
2022-09-04/04:19:03,60.5583,60.7018,gill,6.83942,-1,-1
2022-09-04/04:19:04,60.5583,60.7018,gill,6.83942,-1,-1
2022-09-04/04:19:05,60.5583,60.6026,gill,6.98689,-1,-1
2022-09-04/04:19:06,60.5583,60.509,gill,7.12055,-1,-1
2022-09-04/04:19:07,60.5583,60.509,gill,7.12055,-1,-1
2022-09-04/04:19:08,60.5583,60.4208,gill,7.24039,-1,-1
2022-09-04/04:19:09,60.3947,60.3375,gill,7.34637,-1,-1
2022-09-04/04:19:10,60.119,60.2589,gill,7.43845,-1,-1
2022-09-04/04:19:11,60.119,60.2589,gill,7.43845,-1,-1
2022-09-04/04:19:12,60.119,60.1847,gill,7.51662,-1,-1
2022-09-04/04:19:13,60.119,60.0682,gill,8.04308,-1,-1
2022-09-04/04:19:14,60.119,59.9993,gill,8.11479,-1,-1
2022-09-04/04:19:15,59.9779,59.9342,gill,8.17251,-1,-1
2022-09-04/04:19:16,59.9779,59.8726,gill,8.21621,-1,-1
2022-09-04/04:19:17,59.7067,59.8143,gill,8.24588,-1,-1
2022-09-04/04:19:18,59.7067,59.8143,gill,8.24588,-1,-1
2022-09-04/04:19:19,59.7067,59.6546,gill,8.8198,-1,-1
2022-09-04/04:19:20,59.5867,59.6031,gill,8.8287,-1,-1
2022-09-04/04:19:21,59.5867,59.5543,gill,8.82351,-1,-1
2022-09-04/04:19:22,59.5867,59.5081,gill,8.80421,-1,-1
2022-09-04/04:19:23,59.3203,59.3683,gill,9.35306,-1,-1
2022-09-04/04:19:24,59.2198,59.3272,gill,9.31273,-1,-1
2022-09-04/04:19:25,59.2198,59.3272,gill,9.31273,-1,-1
2022-09-04/04:19:26,59.2198,59.2881,gill,9.25828,-1,-1
2022-09-04/04:19:27,59.2198,59.127,gill,9.71267,-1,-1
2022-09-04/04:19:28,59.2198,59.127,gill,9.71267,-1,-1
2022-09-04/04:19:29,58.8759,59.0938,gill,9.62288,-1,-1
2022-09-04/04:19:30,58.8759,58.949,gill,10.0226,-1,-1
2022-09-04/04:19:31,58.8759,58.949,gill,10.0226,-1,-1
2022-09-04/04:19:32,58.8759,58.8151,gill,10.3886,-1,-1
2022-09-04/04:19:33,58.8759,58.8151,gill,10.3886,-1,-1
2022-09-04/04:19:34,58.8759,58.6674,gill,10.5524,-1,-1
2022-09-04/04:19:35,58.5538,58.6674,gill,10.5524,-1,-1
2022-09-04/04:19:36,58.5538,58.5536,gill,10.8286,-1,-1
2022-09-04/04:19:37,58.5538,58.5536,gill,10.8286,-1,-1
2022-09-04/04:19:38,58.5538,58.447,gill,11.0703,-1,-1
2022-09-04/04:19:39,58.2521,58.3468,gill,11.2774,-1,-1
2022-09-04/04:19:40,58.2521,58.3468,gill,11.2774,-1,-1
2022-09-04/04:19:41,58.2521,58.2521,gill,11.4496,-1,-1
2022-09-04/04:19:42,58.2521,58.1624,gill,11.5868,0.0506847,0.823
2022-09-04/04:19:43,58.2521,58.1624,gill,11.5868,0.0506847,0.823
2022-09-04/04:19:44,57.9534,58.0769,gill,11.689,0.113653,0.857
2022-09-04/04:19:45,57.9534,58.011,gill,12.0754,0.144092,0.857
2022-09-04/04:19:46,57.9534,57.9323,gill,12.1287,0.191217,0.93
2022-09-04/04:19:47,57.9534,57.8564,gill,12.1467,0.527773,0.97
2022-09-04/04:19:48,57.7013,57.7987,gill,12.4995,0.520046,0.97
2022-09-04/04:19:49,57.7013,57.7275,gill,12.4682,0.504531,0.97
2022-09-04/04:19:50,57.7013,57.6742,gill,12.8009,0.429435,0.95
2022-09-04/04:19:51,57.7013,57.6067,gill,12.72,0.464349,0.95
2022-09-04/04:19:52,57.4651,57.4925,gill,12.9018,0.372189,0.95
2022-09-04/04:19:53,57.4651,57.4925,gill,12.9018,0.448916,0.95
2022-09-04/04:19:54,57.4651,57.3834,gill,13.0131,0.233251,0.93
