"date/time ELFINLat PINALat GILLlat EFLINLon, PINALon GILLlon ClosestStation Elevation [deg] ELFINeflux [erg/cm^2/s] ELFINenergy [keV]",,,,,,,,,,
2022-09-04/04:17:48,65.61920317,61.1741,65.5307,274.3867675,270.447,274.542,pina,NaN,-1,-1
2022-09-04/04:17:49,65.5540721,61.1741,65.5307,274.3624573,270.447,274.542,pina,NaN,-1,-1
2022-09-04/04:17:50,65.48893656,61.1741,65.5307,274.3382499,270.447,274.542,pina,NaN,-1,-1
2022-09-04/04:17:51,65.42379284,61.1741,65.3391,274.3141414,270.447,274.065,pina,NaN,-1,-1
2022-09-04/04:17:52,65.35936032,61.1741,65.3391,274.2896849,270.447,274.065,pina,NaN,-1,-1
2022-09-04/04:17:53,65.29348429,61.1741,65.3391,274.2662346,270.447,274.065,pina,NaN,-1,-1
2022-09-04/04:17:54,65.22832225,61.1741,65.3391,274.2424345,270.447,274.065,pina,NaN,-1,-1
2022-09-04/04:17:55,65.16314943,61.1741,65.0902,274.2187319,270.447,274.214,pina,NaN,-1,-1
2022-09-04/04:17:56,65.09797564,61.1741,65.0902,274.1951272,270.447,274.214,pina,NaN,-1,-1
2022-09-04/04:17:57,65.0329675,61.1741,65.0902,274.1715181,270.447,274.214,pina,NaN,-1,-1
2022-09-04/04:17:58,64.96778194,61.1741,65.0902,274.1481073,270.447,274.214,pina,NaN,-1,-1
2022-09-04/04:17:59,64.90258531,61.1741,64.8709,274.1247957,270.447,274.386,pina,NaN,-1,-1
2022-09-04/04:18:00,64.83755777,61.1741,64.8709,274.1014786,270.447,274.386,pina,NaN,-1,-1
2022-09-04/04:18:01,64.77234814,61.1741,64.6798,274.0783579,270.447,273.916,pina,NaN,-1,-1
2022-09-04/04:18:02,64.70713348,61.1741,64.6798,274.0553322,270.447,273.916,pina,NaN,-1,-1
2022-09-04/04:18:03,64.64208715,61.1741,64.6798,274.0322998,270.447,273.916,pina,NaN,-1,-1
2022-09-04/04:18:04,64.57772023,61.1741,64.4842,274.0089649,270.447,274.1,pina,NaN,-1,-1
2022-09-04/04:18:05,64.51180044,61.1741,64.4842,273.9866087,270.447,274.1,pina,NaN,-1,-1
2022-09-04/04:18:06,64.44656164,61.1741,64.4842,273.963952,270.447,274.1,pina,NaN,-1,-1
2022-09-04/04:18:07,64.3814895,61.1741,64.4842,273.9412893,270.447,274.1,pina,NaN,-1,-1
2022-09-04/04:18:08,64.31623801,61.1741,64.2977,273.9188089,270.447,273.647,pina,NaN,-1,-1
2022-09-04/04:18:09,64.25115208,61.1741,64.2977,273.8963268,270.447,273.647,pina,NaN,-1,-1
2022-09-04/04:18:10,64.18589173,61.1741,64.1239,273.8740261,270.447,273.84,pina,NaN,-1,-1
2022-09-04/04:18:11,64.12079245,61.1741,64.1239,273.8517185,270.447,273.84,pina,NaN,-1,-1
2022-09-04/04:18:12,64.05568597,61.1741,64.1239,273.8295047,270.447,273.84,pina,NaN,-1,-1
2022-09-04/04:18:13,63.99040723,61.0504,63.9736,273.80746,271,274.058,pina,NaN,-1,-1
