model,time_utc,elfin_x_gsm_re,elfin_y_gsm_re,elfin_z_gsm_re,elfin_r_re,elfin_b_tot_nt,field_line_type,fp_north_x_gsm_re,fp_north_y_gsm_re,fp_north_z_gsm_re,fp_north_lat_deg,fp_north_lon_deg,fp_north_alt_km,fp_south_x_gsm_re,fp_south_y_gsm_re,fp_south_z_gsm_re,fp_south_lat_deg,fp_south_lon_deg,fp_south_alt_km,field_line_len_re,flux_tube_vol_re_nt,b_normal_north_nt,b_normal_south_nt,min_b_tot_nt
argus,2022-09-04T04:00:10Z,0.733990075008,-0.405157013358,0.622827723949,1.04441754553,49637.0888403,closed_100km,0.706939993749,-0.389109346589,0.615881096549,44.7891773687,89.1978135106,99.9998612020,0.724358948999,-0.368526770808,-0.609654113163,-29.7013706204,93.5927188485,99.9998973281,2.63583166601,0.000240549349401,-50091.4606340,47474.2478022,6109.71943854
argus,2022-09-04T04:00:11Z,0.733334398143,-0.404833931858,0.623805465443,1.04441520029,49660.4992405,closed_100km,0.706312798343,-0.388799062154,0.616789788418,44.8534244914,89.1869013106,99.9998611971,0.723814723900,-0.368108850179,-0.610547012986,-29.7647457055,93.5992825985,99.9998970591,2.64625765470,0.000242782426137,-50138.2983905,47516.1066228,6068.93188177
argus,2022-09-04T04:00:12Z,0.732677715499,-0.404510352372,0.624782415799,1.04441291023,49683.8282470,closed_100km,0.705684594065,-0.388488272351,0.617697820299,44.9176796316,89.1759686284,99.9998611936,0.723279328940,-0.367695968783,-0.611424443522,-29.8270757033,93.6057934248,99.9998967953,2.65672051414,0.000245040203851,-50184.9838734,47557.1674605,6028.85529486
argus,2022-09-04T04:00:13Z,0.732020056948,-0.404186139872,0.625758498641,1.04441059840,49707.0880581,closed_100km,0.705055477558,-0.388176888775,0.618605136960,44.9819392526,89.1650254604,99.9998611915,0.722744864889,-0.367283344313,-0.612298625610,-29.8892250385,93.6123250411,99.9998965328,2.66722645540,0.000247322999623,-50231.5151882,47598.0006778,5988.75845435
argus,2022-09-04T04:00:14Z,0.731361419376,-0.403861415463,0.626733710116,1.04440830715,49730.2703932,closed_100km,0.704425408599,-0.387865004898,0.619511725221,45.0462022649,89.1540637444,99.9998611907,0.722213263600,-0.366872242933,-0.613166561018,-29.9509806339,93.6188536337,99.9998962726,2.67777376115,0.000249631059388,-50277.8908224,47638.4679903,5948.53307724
argus,2022-09-04T04:00:15Z,0.730701779141,-0.403536072074,0.627708134228,1.04440602894,49753.3788948,closed_100km,0.703794370943,-0.387552522253,0.620417664017,45.1104745878,89.1430892972,99.9998611914,0.721674038048,-0.366456412418,-0.614044248688,-30.0134784784,93.6254719004,99.9998960100,2.68837192402,0.000251965080029,-50324.1155192,47679.3082666,5909.01269545
argus,2022-09-04T04:00:16Z,0.730041139193,-0.403210177598,0.628681613624,1.04440369759,49776.4208633,closed_100km,0.703162426121,-0.387239540560,0.621322821486,45.1747467625,89.1320980182,99.9998611935,0.721138798898,-0.366042747081,-0.614914002018,-30.0754625943,93.6320790151,99.9998957501,2.69901076899,0.000254324887521,-50370.1819502,47719.7062582,5869.40759249
argus,2022-09-04T04:00:17Z,0.729379555116,-0.402883726039,0.629654296057,1.04440143847,49799.3779360,closed_100km,0.702529516563,-0.386925988368,0.622227306223,45.2390267263,89.1210921341,99.9998611969,0.720604480128,-0.365629390932,-0.615780531649,-30.1372670405,93.6387037529,99.9998954917,2.70969396194,0.000256711136144,-50416.0960354,47759.8807411,5829.76106939
argus,2022-09-04T04:00:18Z,0.728716960243,-0.402556686870,0.630626036414,1.04439910575,49822.2719646,closed_100km,0.701895707067,-0.386611912868,0.623131015812,45.3033072239,89.1100712074,99.9998612018,0.720063858600,-0.365212149119,-0.616654708521,-30.1996659835,93.6454036730,99.9998952314,2.72042627102,0.000259124009904,-50461.8523958,47800.3295363,5790.81903685
argus,2022-09-04T04:00:19Z,0.728053384876,-0.402229102000,0.631596983973,1.04439682683,49845.0839258,closed_100km,0.701260914363,-0.386297287358,0.624034059474,45.3675961279,89.0990333420,99.9998612080,0.719525286012,-0.364795913629,-0.617523929625,-30.2617623413,93.6521099731,99.9998949731,2.73120289064,0.000261564033699,-50507.4565287,47840.4756734,5751.66829126
