    model            time_utc      elfin_x_gsm_re      elfin_y_gsm_re      elfin_z_gsm_re          elfin_r_re      elfin_b_tot_nt   field_line_type   fp_north_x_gsm_re   fp_north_y_gsm_re   fp_north_z_gsm_re    fp_north_lat_deg    fp_north_lon_deg     fp_north_alt_km   fp_south_x_gsm_re   fp_south_y_gsm_re   fp_south_z_gsm_re    fp_south_lat_deg    fp_south_lon_deg     fp_south_alt_km   field_line_len_re flux_tube_vol_re_nt        min_b_tot_nt
t89_kp_6-   2022-09-04T04:00:32Z      0.719337711381     -0.397919163344      0.644140092588       1.04436720671       50167.7902153      closed_100km      0.692953619500     -0.382168724855      0.635668333839       46.2009406570       88.9546899861       99.9998614156      0.712708099175     -0.359278592641     -0.628500258970      -31.0500666386       93.7516917415       99.9998917530       2.89669896193   0.000304923676114       5075.58700740
t89_kp_6-   2022-09-04T04:00:33Z      0.718660438877     -0.397583687685      0.645098784598       1.04436490606       50189.7378358      closed_100km      0.692305744755     -0.381846543936      0.636561236113       46.2652966894       88.9434273450       99.9998614413      0.712151022923     -0.358847791570     -0.629371986403      -31.1130461176       93.7589539241       99.9998915007       2.90837580792   0.000307935192530       5039.21974171
t89_kp_6-   2022-09-04T04:00:34Z      0.717982222252     -0.397247655422      0.646056679316       1.04436267843       50211.5972840      closed_100km      0.691656905708     -0.381523793059      0.637453453497       46.3296613204       88.9321487283       99.9998614685      0.711604784192     -0.358423125911     -0.630226090669      -31.1748069928       93.7661501191       99.9998912540       2.92009715348   0.000310982468914       5002.80897328
t89_kp_6-   2022-09-04T04:00:35Z      0.717303005922     -0.396911072636      0.647013628951       1.04436039658       50233.3871598      closed_100km      0.691007159188     -0.381200543666      0.638344881614       46.3940269811       88.9208516722       99.9998614971      0.711062789030     -0.358000785995     -0.631072217486      -31.2360431492       93.7733328141       99.9998910101       2.93186698980   0.000314065741434       4966.44846790
t89_kp_6-   2022-09-04T04:00:36Z      0.716622835863     -0.396573930670      0.647969705267       1.04435813317       50255.0963915      closed_100km      0.690356486375     -0.380876750051      0.639235567495       46.4583972573       88.9095383896       99.9998615271      0.710512087944     -0.357573175167     -0.631929160373      -31.2981121316       93.7806128393       99.9998907637       2.94369546706   0.000317185851339       4930.78287642
t89_kp_6-   2022-09-04T04:00:37Z      0.715941712076     -0.396236229551      0.648924908244       1.04435588821       50276.7248325      closed_100km      0.689704887307     -0.380552412261      0.640125510547       46.5227722023       88.8982087955       99.9998615584      0.709953087749     -0.357140546156     -0.632796246577      -31.3609674767       93.7879862898       99.9998905148       2.95558245944   0.000320343301058       4894.61054159
t89_kp_6-   2022-09-04T04:00:38Z      0.715259588586     -0.395897978002      0.649879166080       1.04435358886       50298.2833250      closed_100km      0.689052380667     -0.380227576027      0.641014663352       46.5871483781       88.8868604896       99.9998615912      0.709400720140     -0.356711663007     -0.633651882285      -31.4230473349       93.7953249520       99.9998902698       2.96751698750   0.000323538236755       4858.97188523
t89_kp_6-   2022-09-04T04:00:39Z      0.714576509893     -0.395559133406      0.650832629196       1.04435134305       50319.7565449      closed_100km      0.688398916034     -0.379902145120      0.641903135959       46.6515340521       88.8754977641       99.9998616254      0.708856605080     -0.356287353274     -0.634493877856      -31.4841908902       93.8026220657       99.9998900292       2.97949997236   0.000326771573880       4823.67026656
t89_kp_6-   2022-09-04T04:00:40Z      0.713892478948     -0.395219763700      0.651785140259       1.04434908061       50341.1527515      closed_100km      0.687744556815     -0.379576220658      0.642790800708       46.7159198650       88.8641163937       99.9998616609      0.708304683963     -0.355858356313     -0.635345269549      -31.5460673166       93.8100061983       99.9998897865       2.99154135775   0.000330043598191       4788.07156521
t89_kp_6-   2022-09-04T04:00:41Z      0.713207494276     -0.394879834959      0.652736777905       1.04434683663       50362.4676042      closed_100km      0.687089271350     -0.379249752149      0.643677720596       46.7803105791       88.8527183592       99.9998616979      0.707745311688     -0.355424844629     -0.636205501686      -31.6086381670       93.8174768393       99.9998895419       3.00364194224   0.000333355078290       4753.16109361
t89_kp_6-   2022-09-04T04:00:42Z      0.712521519513     -0.394539358537      0.653687546323       1.04434459324       50383.7040292      closed_100km      0.686433040158     -0.378922759524      0.644563904047       46.8447068405       88.8413013246       99.9998617362      0.707181106315     -0.354988388347     -0.637070751323      -31.6716275396       93.8250096479       99.9998892964       3.01580022134   0.000336706564612       4718.05195780
t89_kp_6-   2022-09-04T04:00:43Z      0.711834581414     -0.394198320512      0.654637365298       1.04434231325       50404.8667795      closed_100km      0.685775920632     -0.378595248608      0.645449286471       46.9091040748       88.8298673630       99.9998617760      0.706636315069     -0.354563076666     -0.637906498564      -31.7325254973       93.8324028661       99.9998890598       3.02799893001   0.000340098058451       4683.20001684
t89_kp_6-   2022-09-04T04:00:44Z      0.711146699199     -0.393856726167      0.655586386788       1.04434010699       50425.9397578      closed_100km      0.685117836824     -0.378267167960      0.646333977552       46.9735104304       88.8184165464       99.9998618171      0.706084451333     -0.354133450596     -0.638750554598      -31.7940794826       93.8398809393       99.9998888214       3.04025844649   0.000343530908856       4648.88215806
t89_kp_6-   2022-09-04T04:00:45Z      0.710457844041     -0.393514567654      0.656534382807       1.04433780882       50446.9468162      closed_100km      0.684458902633     -0.377938594829      0.647217811893       47.0379138488       88.8069485414       99.9998618596      0.705525970662     -0.353699832495     -0.639602182913      -31.8562376746       93.8474369423       99.9998885815       3.05257643602   0.000347005040169       4614.10340787
t89_kp_6-   2022-09-04T04:00:46Z      0.709768055851     -0.393171889463      0.657481578638       1.04433560411       50467.8601262      closed_100km      0.683798998141     -0.377609476994      0.648100945581       47.1023258380       88.7954614960       99.9998619036      0.704961118893     -0.353262364665     -0.640460980960      -31.9189723636       93.8550692060       99.9998883401       3.06495510074   0.000350521653650       4580.00305126
t89_kp_6-   2022-09-04T04:00:47Z      0.709077293245     -0.392828613207      0.658427827613       1.04433334301       50488.7029537      closed_100km      0.683138211306     -0.377279816025      0.648983284830       47.1667397162       88.7839591651       99.9998619489      0.704399587845     -0.352826654540     -0.641313248079      -31.9812850085       93.8626982200       99.9998881011       3.07738682106   0.000354080848236       4545.84294308
t89_kp_6-   2022-09-04T04:00:48Z      0.708385551633     -0.392484826030      0.659373204580       1.04433110235       50509.4628236      closed_100km      0.682476472447     -0.376949655951      0.649864876718       47.2311588528       88.7724352592       99.9998619956      0.703848850356     -0.352397113003     -0.642148475231      -32.0424068939       93.8702569134       99.9998878675       3.08986765123   0.000357683332930       4511.83087720
t89_kp_6-   2022-09-04T04:00:49Z      0.707692892664     -0.392140468732      0.660317703770       1.04432889812       50530.1371680      closed_100km      0.681813826958     -0.376618932230      0.650745710486       47.2955827540       88.7608962217       99.9998620437      0.703292139605     -0.351963896285     -0.642990354017      -32.1040672325       93.8778922074       99.9998876327       3.10240931539   0.000361329903391       4478.39164672
t89_kp_6-   2022-09-04T04:00:50Z      0.706999270363     -0.391795550044      0.661261253383       1.04432665702       50550.7369911      closed_100km      0.681150293061     -0.376287690441      0.651625740553       47.3600080778       88.7493396127       99.9998620932      0.702729794567     -0.351527259146     -0.643838329479      -32.1662269721       93.8855980659       99.9998873967       3.11501120124   0.000365020989744       4444.48225691
t89_kp_6-   2022-09-04T04:00:51Z      0.706304657974     -0.391450083941      0.662203933594       1.04432441691       50571.2571107      closed_100km      0.680485812932     -0.375955924537      0.652505030060       47.4244395133       88.7377631469       99.9998621441      0.702162082637     -0.351087383888     -0.644691967765      -32.2288557632       93.8933709109       99.9998871598       3.12767428719   0.000368757492051       4411.24354954
t89_kp_6-   2022-09-04T04:00:52Z      0.705609129704     -0.391104081771      0.663145657319       1.04432217707       50591.6957784      closed_100km      0.679820458325     -0.375623645967      0.653383497633       47.4888712150       88.7261691751       99.9998621963      0.701593921491     -0.350647116066     -0.645544377106      -32.2914496300       93.9011701417       99.9998869238       3.14039444142   0.000372539649082       4377.93366319
