time energy_keV flux_at_tel0_#/cm2-s-str flux_at_tel90 flux_error_at_tel0 flux_error_at_tel90 alt lat lon
 2022-09-04/04:20:34 287        133.33       2933.33    103.00     33.00  851.30   36.10  262.55
 2022-09-04/04:20:34 612          0.00          0.00      0.00      0.00  851.30   36.10  262.55
 2022-09-04/04:20:36  40          0.00      95443.55      0.00     50.00  851.30   36.21  262.52
 2022-09-04/04:20:36 130          0.00      56631.94      0.00     22.00  851.30   36.21  262.52
 2022-09-04/04:20:36 287          0.00       3333.33      0.00     32.00  851.30   36.21  262.52
 2022-09-04/04:20:36 612        181.82          0.00    124.00      0.00  851.30   36.21  262.52
 2022-09-04/04:20:38  40        241.94      95443.55     76.00     50.00  851.30   36.33  262.48
 2022-09-04/04:20:38 130        138.89      52187.50     74.00     23.00  851.30   36.33  262.48
 2022-09-04/04:20:38 287        133.33       2400.00    103.00     35.00  851.30   36.33  262.48
 2022-09-04/04:20:38 612          0.00          0.00      0.00      0.00  851.30   36.33  262.48
 2022-09-04/04:20:40  40        241.94      95443.55     76.00     50.00  851.30   36.44  262.45
 2022-09-04/04:20:40 130         69.44      52187.50    102.00     23.00  851.30   36.44  262.45
 2022-09-04/04:20:40 287          0.00        933.33      0.00     46.00  851.30   36.44  262.45
 2022-09-04/04:20:40 612        363.64        181.82    101.00    124.00  851.30   36.44  262.45
 2022-09-04/04:20:42  40        161.29      95443.55     87.00     50.00  851.30   36.56  262.41
 2022-09-04/04:20:42 130         69.44      52187.50    102.00     23.00  851.30   36.56  262.41
 2022-09-04/04:20:42 287        133.33       1866.67    103.00     37.00  851.30   36.56  262.41
 2022-09-04/04:20:42 612          0.00          0.00      0.00      0.00  851.30   36.56  262.41
 2022-09-04/04:20:44  40        161.29     100604.84     87.00     50.00  851.30   36.68  262.37
 2022-09-04/04:20:44 130         69.44      52187.50    102.00     23.00  851.30   36.68  262.37
 2022-09-04/04:20:44 287        133.33       2266.67    103.00     35.00  851.30   36.68  262.37
 2022-09-04/04:20:44 612          0.00          0.00      0.00      0.00  851.30   36.68  262.37
 2022-09-04/04:20:46  40        161.29     100604.84     87.00     50.00  851.30   36.79  262.34
 2022-09-04/04:20:46 130        138.89      47743.05     74.00     23.00  851.30   36.79  262.34
 2022-09-04/04:20:46 287          0.00       2000.00      0.00     36.00  851.30   36.79  262.34
 2022-09-04/04:20:46 612          0.00          0.00      0.00      0.00  851.30   36.79  262.34
 2022-09-04/04:20:48  40         80.65     100604.84    112.00     50.00  851.30   36.91  262.30
 2022-09-04/04:20:48 130          0.00      47743.05      0.00     23.00  851.30   36.91  262.30
 2022-09-04/04:20:48 287          0.00       1866.67      0.00     37.00  851.30   36.91  262.30
 2022-09-04/04:20:48 612          0.00        181.82      0.00    124.00  851.30   36.91  262.30
 2022-09-04/04:20:50  40          0.00     100604.84      0.00     50.00  851.30   37.02  262.26
 2022-09-04/04:20:50 130          0.00      47743.05      0.00     23.00  851.30   37.02  262.26
 2022-09-04/04:20:50 287          0.00       1466.67      0.00     39.00  851.30   37.02  262.26
 2022-09-04/04:20:50 612          0.00        181.82      0.00    124.00  851.30   37.02  262.26
 2022-09-04/04:20:52  40        241.94      95443.55     76.00     50.00  851.30   37.14  262.23
 2022-09-04/04:20:52 130        138.89      43298.61     74.00     23.00  851.30   37.14  262.23
 2022-09-04/04:20:52 287        133.33       1600.00    103.00     38.00  851.30   37.14  262.23
 2022-09-04/04:20:52 612          0.00        181.82      0.00    124.00  851.30   37.14  262.23
 2022-09-04/04:20:54  40        161.29      90282.26     87.00     50.00  851.30   37.26  262.19
 2022-09-04/04:20:54 130         69.44      41076.39    102.00     23.00  851.30   37.26  262.19
 2022-09-04/04:20:54 287        133.33       1333.33    103.00     41.00  851.30   37.26  262.19
 2022-09-04/04:20:54 612          0.00          0.00      0.00      0.00  851.30   37.26  262.19
 2022-09-04/04:20:56  40        322.58      95443.55     71.00     50.00  851.30   37.37  262.15
 2022-09-04/04:20:56 130        277.78      38854.16     55.00     23.00  851.30   37.37  262.15
 2022-09-04/04:20:56 287        266.67       1066.67     75.00     43.00  851.30   37.37  262.15
 2022-09-04/04:20:56 612          0.00        363.64      0.00    101.00  851.30   37.37  262.15
 2022-09-04/04:20:58  40        161.29      95443.55     87.00     50.00  851.30   37.49  262.11
 2022-09-04/04:20:58 130        138.89      38854.16     74.00     23.00  851.30   37.49  262.11
 2022-09-04/04:20:58 287        133.33       1200.00    103.00     42.00  851.30   37.49  262.11
 2022-09-04/04:20:58 612          0.00        363.64      0.00    101.00  851.30   37.49  262.11
 2022-09-04/04:21:00  40        161.29      90282.26     87.00     50.00  851.30   37.60  262.08
 2022-09-04/04:21:00 130          0.00      36631.94      0.00     23.00  851.30   37.60  262.08
 2022-09-04/04:21:00 287          0.00       1066.67      0.00     43.00  851.30   37.60  262.08
 2022-09-04/04:21:00 612        181.82          0.00    124.00      0.00  851.30   37.60  262.08
 2022-09-04/04:21:02  40         80.65      95443.55    112.00     50.00  851.30   37.72  262.04
 2022-09-04/04:21:02 130          0.00      36631.94      0.00     23.00  851.30   37.72  262.04
 2022-09-04/04:21:02 287          0.00        666.67      0.00     51.00  851.30   37.72  262.04
 2022-09-04/04:21:02 612        181.82        727.27    124.00     88.00  851.30   37.72  262.04
 2022-09-04/04:21:04  40        161.29      85120.97     87.00     50.00  851.30   37.83  262.00
 2022-09-04/04:21:04 130          0.00      31354.17      0.00     23.00  851.30   37.83  262.00
 2022-09-04/04:21:04 287          0.00       1200.00      0.00     42.00  851.30   37.83  262.00
 2022-09-04/04:21:04 612          0.00          0.00      0.00      0.00  851.30   37.83  262.00
