time energy_keV flux_at_tel0_#/cm2-s-str flux_at_tel90 flux_error_at_tel0 flux_error_at_tel90 alt lat lon
 2022-09-04/04:22:30 130         69.44      49965.28    102.00     23.00  851.50   42.81  260.29
 2022-09-04/04:22:30 287          0.00        133.33      0.00    103.00  851.50   42.81  260.29
 2022-09-04/04:22:30 612          0.00          0.00      0.00      0.00  851.50   42.81  260.29
 2022-09-04/04:22:32  40          0.00     170282.25      0.00     50.00  851.50   42.92  260.25
 2022-09-04/04:22:32 130          0.00      52187.50      0.00     23.00  851.50   42.92  260.25
 2022-09-04/04:22:32 287          0.00          0.00      0.00      0.00  851.50   42.92  260.25
 2022-09-04/04:22:32 612        181.82          0.00    124.00      0.00  851.50   42.92  260.25
 2022-09-04/04:22:34  40        241.94     170282.25     76.00     50.00  851.50   43.04  260.20
 2022-09-04/04:22:34 130        208.33      54409.72     62.00     23.00  851.50   43.04  260.20
 2022-09-04/04:22:34 287        266.67        266.67     75.00     75.00  851.50   43.04  260.20
 2022-09-04/04:22:34 612          0.00          0.00      0.00      0.00  851.50   43.04  260.20
 2022-09-04/04:22:36  40         80.65     190927.42    112.00     50.00  851.50   43.15  260.16
 2022-09-04/04:22:36 130          0.00      59409.72      0.00     22.00  851.50   43.15  260.16
 2022-09-04/04:22:36 287          0.00        400.00      0.00     63.00  851.50   43.15  260.16
 2022-09-04/04:22:36 612          0.00          0.00      0.00      0.00  851.50   43.15  260.16
 2022-09-04/04:22:38  40        161.29     190927.42     87.00     50.00  851.50   43.27  260.12
 2022-09-04/04:22:38 130         69.44      62743.05    102.00     22.00  851.50   43.27  260.12
 2022-09-04/04:22:38 287        133.33          0.00    103.00      0.00  851.50   43.27  260.12
 2022-09-04/04:22:38 612          0.00          0.00      0.00      0.00  851.50   43.27  260.12
 2022-09-04/04:22:40  40        161.29     190927.42     87.00     50.00  851.50   43.38  260.08
 2022-09-04/04:22:40 130        138.89      66076.38     74.00     22.00  851.50   43.38  260.08
 2022-09-04/04:22:40 287        133.33        133.33    103.00    103.00  851.50   43.38  260.08
 2022-09-04/04:22:40 612          0.00          0.00      0.00      0.00  851.50   43.38  260.08
 2022-09-04/04:22:42  40        161.29     201250.00     87.00     50.00  851.50   43.50  260.03
 2022-09-04/04:22:42 130         69.44      69409.72    102.00     22.00  851.50   43.50  260.03
 2022-09-04/04:22:42 287        133.33          0.00    103.00      0.00  851.50   43.50  260.03
 2022-09-04/04:22:42 612        181.82          0.00    124.00      0.00  851.50   43.50  260.03
 2022-09-04/04:22:44  40         80.65     201250.00    112.00     50.00  851.50   43.61  259.99
 2022-09-04/04:22:44 130          0.00      62743.05      0.00     22.00  851.50   43.61  259.99
 2022-09-04/04:22:44 287          0.00          0.00      0.00      0.00  851.50   43.61  259.99
 2022-09-04/04:22:44 612          0.00          0.00      0.00      0.00  851.50   43.61  259.99
 2022-09-04/04:22:46  40        403.23     201250.00     67.00     50.00  851.50   43.73  259.95
 2022-09-04/04:22:46 130        277.78      69409.72     55.00     22.00  851.50   43.73  259.95
 2022-09-04/04:22:46 287        266.67        266.67     75.00     75.00  851.50   43.73  259.95
 2022-09-04/04:22:46 612        181.82          0.00    124.00      0.00  851.50   43.73  259.95
 2022-09-04/04:22:48  40        241.94     201250.00     76.00     50.00  851.60   43.84  259.90
 2022-09-04/04:22:48 130        138.89      66076.38     74.00     22.00  851.60   43.84  259.90
 2022-09-04/04:22:48 287        133.33        266.67    103.00     75.00  851.60   43.84  259.90
 2022-09-04/04:22:48 612          0.00          0.00      0.00      0.00  851.60   43.84  259.90
 2022-09-04/04:22:50  40        161.29     201250.00     87.00     50.00  851.60   43.96  259.86
 2022-09-04/04:22:50 130          0.00      66076.38      0.00     22.00  851.60   43.96  259.86
 2022-09-04/04:22:50 287          0.00          0.00      0.00      0.00  851.60   43.96  259.86
 2022-09-04/04:22:50 612        181.82          0.00    124.00      0.00  851.60   43.96  259.86
 2022-09-04/04:22:52  40        403.23     190927.42     67.00     50.00  851.60   44.07  259.82
 2022-09-04/04:22:52 130        138.89      66076.38     74.00     22.00  851.60   44.07  259.82
 2022-09-04/04:22:52 287        266.67        133.33     75.00    103.00  851.60   44.07  259.82
 2022-09-04/04:22:52 612          0.00          0.00      0.00      0.00  851.60   44.07  259.82
 2022-09-04/04:22:54  40        645.16     201250.00     61.00     50.00  851.60   44.19  259.77
 2022-09-04/04:22:54 130        347.22      59409.72     50.00     22.00  851.60   44.19  259.77
 2022-09-04/04:22:54 287        266.67        133.33     75.00    103.00  851.60   44.19  259.77
 2022-09-04/04:22:54 612        363.64        181.82    101.00    124.00  851.60   44.19  259.77
 2022-09-04/04:22:56  40        322.58     211572.58     71.00     50.00  851.60   44.31  259.73
 2022-09-04/04:22:56 130        208.33      62743.05     62.00     22.00  851.60   44.31  259.73
 2022-09-04/04:22:56 287        133.33          0.00    103.00      0.00  851.60   44.31  259.73
 2022-09-04/04:22:56 612          0.00          0.00      0.00      0.00  851.60   44.31  259.73
 2022-09-04/04:22:58  40        645.16     211572.58     61.00     50.00  851.60   44.42  259.68
 2022-09-04/04:22:58 130        208.33      62743.05     62.00     22.00  851.60   44.42  259.68
 2022-09-04/04:22:58 287        266.67        133.33     75.00    103.00  851.60   44.42  259.68
 2022-09-04/04:22:58 612          0.00          0.00      0.00      0.00  851.60   44.42  259.68
 2022-09-04/04:23:00  40        483.87     232217.73     65.00     50.00  851.60   44.53  259.64
 2022-09-04/04:23:00 130        138.89      69409.72     74.00     22.00  851.60   44.53  259.64
 2022-09-04/04:23:00 287        133.33        133.33    103.00    103.00  851.60   44.53  259.64
 2022-09-04/04:23:00 612        363.64        181.82    101.00    124.00  851.60   44.53  259.64
 2022-09-04/04:23:02  40        322.58     263185.47     71.00     50.00  851.60   44.65  259.60
 2022-09-04/04:23:02 130          0.00      73298.61      0.00     22.00  851.60   44.65  259.60
 2022-09-04/04:23:02 287          0.00          0.00      0.00      0.00  851.60   44.65  259.60
 2022-09-04/04:23:02 612          0.00          0.00      0.00      0.00  851.60   44.65  259.60
 2022-09-04/04:23:04  40        322.58     276088.72     71.00     50.00  851.60   44.76  259.55
 2022-09-04/04:23:04 130        138.89      73298.61     74.00     22.00  851.60   44.76  259.55
 2022-09-04/04:23:04 287        266.67        666.67     75.00     51.00  851.60   44.76  259.55
 2022-09-04/04:23:04 612        181.82          0.00    124.00      0.00  851.60   44.76  259.55
 2022-09-04/04:23:06  40         80.65     291572.59    112.00     50.00  851.60   44.88  259.51
 2022-09-04/04:23:06 130         69.44      69409.72    102.00     22.00  851.60   44.88  259.51
 2022-09-04/04:23:06 287        133.33          0.00    103.00      0.00  851.60   44.88  259.51
 2022-09-04/04:23:06 612          0.00          0.00      0.00      0.00  851.60   44.88  259.51
 2022-09-04/04:23:08  40        322.58     322540.31     71.00     50.00  851.60   45.00  259.46
 2022-09-04/04:23:08 130          0.00      73298.61      0.00     22.00  851.60   45.00  259.46
 2022-09-04/04:23:08 287          0.00        133.33      0.00    103.00  851.60   45.00  259.46
 2022-09-04/04:23:08 612        181.82          0.00    124.00      0.00  851.60   45.00  259.46
 2022-09-04/04:23:10  40        403.23     322540.31     67.00     50.00  851.60   45.11  259.42
 2022-09-04/04:23:10 130         69.44      69409.72    102.00     22.00  851.60   45.11  259.42
 2022-09-04/04:23:10 287        133.33          0.00    103.00      0.00  851.60   45.11  259.42
 2022-09-04/04:23:10 612        181.82        181.82    124.00    124.00  851.60   45.11  259.42
 2022-09-04/04:23:12  40        241.94     340604.84     76.00     50.00  851.60   45.23  259.37
 2022-09-04/04:23:12 130          0.00      73298.61      0.00     22.00  851.60   45.23  259.37
 2022-09-04/04:23:12 287          0.00        133.33      0.00    103.00  851.60   45.23  259.37
 2022-09-04/04:23:12 612        181.82          0.00    124.00      0.00  851.60   45.23  259.37
 2022-09-04/04:23:14  40        322.58     340604.84     71.00     50.00  851.60   45.34  259.33
 2022-09-04/04:23:14 130         69.44      69409.72    102.00     22.00  851.60   45.34  259.33
 2022-09-04/04:23:14 287        133.33          0.00    103.00      0.00  851.60   45.34  259.33
 2022-09-04/04:23:14 612        181.82        181.82    124.00    124.00  851.60   45.34  259.33
 2022-09-04/04:23:16  40        403.23     340604.84     67.00     50.00  851.60   45.46  259.28
 2022-09-04/04:23:16 130         69.44      66076.38    102.00     22.00  851.60   45.46  259.28
 2022-09-04/04:23:16 287        133.33        400.00    103.00     63.00  851.60   45.46  259.28
 2022-09-04/04:23:16 612          0.00          0.00      0.00      0.00  851.60   45.46  259.28
 2022-09-04/04:23:18  40        161.29     340604.84     87.00     50.00  851.60   45.57  259.24
 2022-09-04/04:23:18 130          0.00      59409.72      0.00     22.00  851.60   45.57  259.24
 2022-09-04/04:23:18 287          0.00        133.33      0.00    103.00  851.60   45.57  259.24
 2022-09-04/04:23:18 612        181.82        363.64    124.00    101.00  851.60   45.57  259.24
 2022-09-04/04:23:20  40        564.52     361250.00     63.00     50.00  851.60   45.69  259.19
 2022-09-04/04:23:20 130        208.33      66076.38     62.00     22.00  851.60   45.69  259.19
 2022-09-04/04:23:20 287        133.33        266.67    103.00     75.00  851.60   45.69  259.19
 2022-09-04/04:23:20 612          0.00          0.00      0.00      0.00  851.60   45.69  259.19
 2022-09-04/04:23:22  40         80.65     340604.84    112.00     50.00  851.70   45.80  259.15
 2022-09-04/04:23:22 130         69.44      62743.05    102.00     22.00  851.70   45.80  259.15
 2022-09-04/04:23:22 287        133.33        266.67    103.00     75.00  851.70   45.80  259.15
 2022-09-04/04:23:22 612        363.64        363.64    101.00    101.00  851.70   45.80  259.15
 2022-09-04/04:23:24  40        241.94     340604.84     76.00     50.00  851.70   45.92  259.10
 2022-09-04/04:23:24 130        138.89      66076.38     74.00     22.00  851.70   45.92  259.10
 2022-09-04/04:23:24 287          0.00        266.67      0.00     75.00  851.70   45.92  259.10
 2022-09-04/04:23:24 612          0.00          0.00      0.00      0.00  851.70   45.92  259.10
 2022-09-04/04:23:26  40        403.23     340604.84     67.00     50.00  851.70   46.03  259.05
 2022-09-04/04:23:26 130         69.44      69409.72    102.00     22.00  851.70   46.03  259.05
 2022-09-04/04:23:26 287          0.00        400.00      0.00     63.00  851.70   46.03  259.05
 2022-09-04/04:23:26 612        181.82          0.00    124.00      0.00  851.70   46.03  259.05
 2022-09-04/04:23:28  40        241.94     322540.31     76.00     50.00  851.70   46.15  259.01
 2022-09-04/04:23:28 130         69.44      69409.72    102.00     22.00  851.70   46.15  259.01
 2022-09-04/04:23:28 287          0.00        666.67      0.00     51.00  851.70   46.15  259.01
 2022-09-04/04:23:28 612        181.82        909.09    124.00     85.00  851.70   46.15  259.01
 2022-09-04/04:23:30  40         80.65     307056.44    112.00     50.00  851.70   46.26  258.96
 2022-09-04/04:23:30 130         69.44      66076.38    102.00     22.00  851.70   46.26  258.96
 2022-09-04/04:23:30 287        133.33        533.33    103.00     56.00  851.70   46.26  258.96
 2022-09-04/04:23:30 612          0.00       1272.73      0.00     82.00  851.70   46.26  258.96
 2022-09-04/04:23:32  40        403.23     322540.31     67.00     50.00  851.70   46.38  258.91
 2022-09-04/04:23:32 130        208.33      66076.38     62.00     22.00  851.70   46.38  258.91
 2022-09-04/04:23:32 287        266.67       1333.33     75.00     41.00  851.70   46.38  258.91
 2022-09-04/04:23:32 612          0.00        181.82      0.00    124.00  851.70   46.38  258.91
 2022-09-04/04:23:34  40        564.52     307056.44     63.00     50.00  851.70   46.49  258.87
 2022-09-04/04:23:34 130        208.33      59409.72     62.00     22.00  851.70   46.49  258.87
 2022-09-04/04:23:34 287        133.33       1200.00    103.00     42.00  851.70   46.49  258.87
 2022-09-04/04:23:34 612        181.82          0.00    124.00      0.00  851.70   46.49  258.87
 2022-09-04/04:23:36  40         80.65     307056.44    112.00     50.00  851.70   46.61  258.82
 2022-09-04/04:23:36 130          0.00      62743.05      0.00     22.00  851.70   46.61  258.82
 2022-09-04/04:23:36 287          0.00       1066.67      0.00     43.00  851.70   46.61  258.82
 2022-09-04/04:23:36 612          0.00        727.27      0.00     88.00  851.70   46.61  258.82
 2022-09-04/04:23:38  40         80.65     340604.84    112.00     50.00  851.70   46.72  258.77
 2022-09-04/04:23:38 130          0.00      62743.05      0.00     22.00  851.70   46.72  258.77
 2022-09-04/04:23:38 287          0.00       1200.00      0.00     42.00  851.70   46.72  258.77
 2022-09-04/04:23:38 612        181.82        181.82    124.00    124.00  851.70   46.72  258.77
 2022-09-04/04:23:40  40         80.65     322540.31    112.00     50.00  851.70   46.84  258.73
 2022-09-04/04:23:40 130         69.44      69409.72    102.00     22.00  851.70   46.84  258.73
 2022-09-04/04:23:40 287        133.33       1200.00    103.00     42.00  851.70   46.84  258.73
 2022-09-04/04:23:40 612          0.00          0.00      0.00      0.00  851.70   46.84  258.73
 2022-09-04/04:23:42  40        483.87     322540.31     65.00     50.00  851.70   46.95  258.68
 2022-09-04/04:23:42 130        138.89      66076.38     74.00     22.00  851.70   46.95  258.68
 2022-09-04/04:23:42 287        133.33       1200.00    103.00     42.00  851.70   46.95  258.68
 2022-09-04/04:23:42 612        181.82          0.00    124.00      0.00  851.70   46.95  258.68
 2022-09-04/04:23:44  40        403.23     340604.84     67.00     50.00  851.70   47.07  258.63
 2022-09-04/04:23:44 130        208.33      69409.72     62.00     22.00  851.70   47.07  258.63
 2022-09-04/04:23:44 287        133.33       1200.00    103.00     42.00  851.70   47.07  258.63
 2022-09-04/04:23:44 612        181.82        545.45    124.00     93.00  851.70   47.07  258.63
 2022-09-04/04:23:46  40        241.94     361250.00     76.00     50.00  851.70   47.18  258.58
 2022-09-04/04:23:46 130         69.44      73298.61    102.00     22.00  851.70   47.18  258.58
 2022-09-04/04:23:46 287        133.33       2000.00    103.00     36.00  851.70   47.18  258.58
 2022-09-04/04:23:46 612          0.00        181.82      0.00    124.00  851.70   47.18  258.58
 2022-09-04/04:23:48  40        241.94     361250.00     76.00     50.00  851.70   47.30  258.54
 2022-09-04/04:23:48 130         69.44      77743.05    102.00     22.00  851.70   47.30  258.54
 2022-09-04/04:23:48 287          0.00       2266.67      0.00     35.00  851.70   47.30  258.54
 2022-09-04/04:23:48 612        363.64        727.27    101.00     88.00  851.70   47.30  258.54
 2022-09-04/04:23:50  40          0.00     402540.31      0.00     50.00  851.70   47.41  258.49
 2022-09-04/04:23:50 130          0.00      77743.05      0.00     22.00  851.70   47.41  258.49
 2022-09-04/04:23:50 287          0.00       2400.00      0.00     35.00  851.70   47.41  258.49
 2022-09-04/04:23:50 612          0.00        181.82      0.00    124.00  851.70   47.41  258.49
 2022-09-04/04:23:52  40       3104.84     443830.66     53.00     50.00  851.70   47.53  258.44
 2022-09-04/04:23:52 130          0.00      69409.72      0.00     22.00  851.70   47.53  258.44
 2022-09-04/04:23:52 287          0.00       2800.00      0.00     33.00  851.70   47.53  258.44
 2022-09-04/04:23:52 612        181.82          0.00    124.00      0.00  851.70   47.53  258.44
 2022-09-04/04:23:54  40       3750.00     552217.75     52.00     50.00  851.80   47.64  258.39
 2022-09-04/04:23:54 130         69.44      69409.72    102.00     22.00  851.80   47.64  258.39
 2022-09-04/04:23:54 287          0.00       3600.00      0.00     32.00  851.80   47.64  258.39
 2022-09-04/04:23:54 612          0.00        181.82      0.00    124.00  851.80   47.64  258.39
 2022-09-04/04:23:56  40       5282.26     485120.97     52.00     50.00  851.80   47.76  258.34
 2022-09-04/04:23:56 130         69.44      66076.38    102.00     22.00  851.80   47.76  258.34
 2022-09-04/04:23:56 287          0.00       5933.33      0.00     29.00  851.80   47.76  258.34
 2022-09-04/04:23:56 612        363.64        909.09    101.00     85.00  851.80   47.76  258.34
 2022-09-04/04:23:58  40       1935.48     423185.47     54.00     50.00  851.80   47.87  258.29
 2022-09-04/04:23:58 130        208.33      69409.72     62.00     22.00  851.80   47.87  258.29
 2022-09-04/04:23:58 287        266.67       6200.00     75.00     29.00  851.80   47.87  258.29
 2022-09-04/04:23:58 612          0.00       1090.91      0.00     83.00  851.80   47.87  258.29
 2022-09-04/04:24:00  40        483.87     423185.47     65.00     50.00  851.80   47.98  258.24
 2022-09-04/04:24:00 130        138.89      73298.61     74.00     22.00  851.80   47.98  258.24
 2022-09-04/04:24:00 287        266.67       6466.67     75.00     29.00  851.80   47.98  258.24
 2022-09-04/04:24:00 612          0.00       1090.91      0.00     83.00  851.80   47.98  258.24
 2022-09-04/04:24:02  40       2177.42     381895.16     54.00     50.00  851.80   48.10  258.20
 2022-09-04/04:24:02 130        277.78      66076.38     55.00     22.00  851.80   48.10  258.20
 2022-09-04/04:24:02 287        400.00       7466.67     63.00     29.00  851.80   48.10  258.20
 2022-09-04/04:24:02 612        363.64        727.27    101.00     88.00  851.80   48.10  258.20
 2022-09-04/04:24:04  40        161.29     443830.66     87.00     50.00  851.80   48.21  258.15
 2022-09-04/04:24:04 130         69.44      82187.50    102.00     22.00  851.80   48.21  258.15
 2022-09-04/04:24:04 287        133.33       9266.67    103.00     28.00  851.80   48.21  258.15
 2022-09-04/04:24:04 612          0.00        181.82      0.00    124.00  851.80   48.21  258.15
 2022-09-04/04:24:06  40       1854.84     645120.94     54.00     50.00  851.80   48.33  258.10
 2022-09-04/04:24:06 130        277.78      95520.83     55.00     22.00  851.80   48.33  258.10
 2022-09-04/04:24:06 287        400.00       9800.00     63.00     28.00  851.80   48.33  258.10
 2022-09-04/04:24:06 612          0.00        909.09      0.00     85.00  851.80   48.33  258.10
 2022-09-04/04:24:08  40       6895.16     485120.97     51.00     50.00  851.80   48.44  258.05
 2022-09-04/04:24:08 130        555.56      91076.38     42.00     22.00  851.80   48.44  258.05
 2022-09-04/04:24:08 287        133.33      11933.33    103.00     27.00  851.80   48.44  258.05
 2022-09-04/04:24:08 612        363.64        545.45    101.00     93.00  851.80   48.44  258.05
 2022-09-04/04:24:10  40       3104.84     552217.75     53.00     50.00  851.80   48.56  258.00
 2022-09-04/04:24:10 130        208.33     113298.61     62.00     22.00  851.80   48.56  258.00
 2022-09-04/04:24:10 287        266.67      15800.00     75.00     27.00  851.80   48.56  258.00
 2022-09-04/04:24:10 612          0.00        545.45      0.00     93.00  851.80   48.56  258.00
 2022-09-04/04:24:12  40       2096.77     681250.00     54.00     50.00  851.80   48.67  257.95
 2022-09-04/04:24:12 130        277.78     132187.50     55.00     22.00  851.80   48.67  257.95
 2022-09-04/04:24:12 287        133.33      18600.00    103.00     27.00  851.80   48.67  257.95
 2022-09-04/04:24:12 612        363.64        727.27    101.00     88.00  851.80   48.67  257.95
 2022-09-04/04:24:14  40        483.87     614153.25     65.00     50.00  851.80   48.79  257.90
 2022-09-04/04:24:14 130        208.33     138854.16     62.00     22.00  851.80   48.79  257.90
 2022-09-04/04:24:14 287        133.33      19666.67    103.00     27.00  851.80   48.79  257.90
 2022-09-04/04:24:14 612        181.82        909.09    124.00     85.00  851.80   48.79  257.90
 2022-09-04/04:24:16  40        645.16     583185.50     61.00     50.00  851.80   48.90  257.85
 2022-09-04/04:24:16 130        138.89     138854.16     74.00     22.00  851.80   48.90  257.85
 2022-09-04/04:24:16 287          0.00      23933.33      0.00     26.00  851.80   48.90  257.85
 2022-09-04/04:24:16 612          0.00        727.27      0.00     88.00  851.80   48.90  257.85
 2022-09-04/04:24:18  40        645.16     526411.31     61.00     50.00  851.80   49.02  257.80
 2022-09-04/04:24:18 130        138.89     125520.83     74.00     22.00  851.80   49.02  257.80
 2022-09-04/04:24:18 287        133.33      25000.00    103.00     26.00  851.80   49.02  257.80
 2022-09-04/04:24:18 612        181.82        545.45    124.00     93.00  851.80   49.02  257.80
 2022-09-04/04:24:20  40        483.87     485120.97     65.00     50.00  851.80   49.13  257.74
 2022-09-04/04:24:20 130        208.33     125520.83     62.00     22.00  851.80   49.13  257.74
 2022-09-04/04:24:20 287        133.33      33266.67    103.00     26.00  851.80   49.13  257.74
 2022-09-04/04:24:20 612        181.82        727.27    124.00     88.00  851.80   49.13  257.74
 2022-09-04/04:24:22  40        725.81     552217.75     60.00     50.00  851.80   49.24  257.69
 2022-09-04/04:24:22 130        416.67     118854.16     46.00     22.00  851.80   49.24  257.69
 2022-09-04/04:24:22 287        266.67      31666.67     75.00     26.00  851.80   49.24  257.69
 2022-09-04/04:24:22 612          0.00        545.45      0.00     93.00  851.80   49.24  257.69
 2022-09-04/04:24:24  40       1451.61     526411.31     55.00     50.00  851.90   49.36  257.64
 2022-09-04/04:24:24 130        763.89     113298.61     37.00     22.00  851.90   49.36  257.64
 2022-09-04/04:24:24 287        666.67      33266.67     51.00     26.00  851.90   49.36  257.64
 2022-09-04/04:24:24 612          0.00        545.45      0.00     93.00  851.90   49.36  257.64
 2022-09-04/04:24:26  40       6572.58     443830.66     51.00     50.00  851.90   49.47  257.59
 2022-09-04/04:24:26 130       5104.17     118854.16     25.00     22.00  851.90   49.47  257.59
 2022-09-04/04:24:26 287       5666.67      43666.67     30.00     26.00  851.90   49.47  257.59
 2022-09-04/04:24:26 612          0.00       1090.91      0.00     83.00  851.90   49.47  257.59
 2022-09-04/04:24:28  40      13185.48     464475.81     51.00     50.00  851.90   49.59  257.54
 2022-09-04/04:24:28 130       7395.83     125520.83     24.00     22.00  851.90   49.59  257.54
 2022-09-04/04:24:28 287       3200.00      41533.33     33.00     26.00  851.90   49.59  257.54
 2022-09-04/04:24:28 612        181.82        545.45    124.00     93.00  851.90   49.59  257.54
 2022-09-04/04:24:30  40      13185.48     722540.31     51.00     50.00  851.90   49.70  257.49
 2022-09-04/04:24:30 130       6493.06     146631.94     25.00     22.00  851.90   49.70  257.49
 2022-09-04/04:24:30 287       4133.33      47933.33     31.00     26.00  851.90   49.70  257.49
 2022-09-04/04:24:30 612          0.00       1454.55      0.00     81.00  851.90   49.70  257.49
 2022-09-04/04:24:32  40      15766.13     645120.94     51.00     50.00  851.90   49.82  257.44
 2022-09-04/04:24:32 130       9687.50     164409.72     24.00     22.00  851.90   49.82  257.44
 2022-09-04/04:24:32 287       2266.67      63400.00     35.00     26.00  851.90   49.82  257.44
 2022-09-04/04:24:32 612          0.00       1636.36      0.00     80.00  851.90   49.82  257.44
 2022-09-04/04:24:34  40      65766.12     645120.94     50.00     50.00  851.90   49.93  257.38
 2022-09-04/04:24:34 130      21631.94     146631.94     23.00     22.00  851.90   49.93  257.38
 2022-09-04/04:24:34 287       9800.00      66600.00     28.00     26.00  851.90   49.93  257.38
 2022-09-04/04:24:34 612          0.00       1272.73      0.00     82.00  851.90   49.93  257.38
 2022-09-04/04:24:36  40       9556.45     763830.62     51.00     50.00  851.90   50.05  257.33
 2022-09-04/04:24:36 130       3888.89     164409.72     26.00     22.00  851.90   50.05  257.33
 2022-09-04/04:24:36 287       3066.67      74600.00     33.00     26.00  851.90   50.05  257.33
 2022-09-04/04:24:36 612          0.00       2000.00      0.00     79.00  851.90   50.05  257.33
 2022-09-04/04:24:38  40      63185.48     681250.00     50.00     50.00  851.90   50.16  257.28
 2022-09-04/04:24:38 130      28298.61     191076.38     23.00     22.00  851.90   50.16  257.28
 2022-09-04/04:24:38 287       8733.33      78866.66     28.00     26.00  851.90   50.16  257.28
 2022-09-04/04:24:38 612          0.00        727.27      0.00     88.00  851.90   50.16  257.28
 2022-09-04/04:24:40  40      95443.55     645120.94     50.00     50.00  851.90   50.28  257.23
 2022-09-04/04:24:40 130      21631.94     191076.38     23.00     22.00  851.90   50.28  257.23
 2022-09-04/04:24:40 287       4133.33      91666.66     31.00     26.00  851.90   50.28  257.23
 2022-09-04/04:24:40 612        181.82       4000.00    124.00     76.00  851.90   50.28  257.23
 2022-09-04/04:24:42  40     100604.84     681250.00     50.00     50.00  851.90   50.39  257.17
 2022-09-04/04:24:42 130      18298.61     182187.50     23.00     22.00  851.90   50.39  257.17
 2022-09-04/04:24:42 287       5400.00      91666.66     30.00     26.00  851.90   50.39  257.17
 2022-09-04/04:24:42 612        181.82       3454.55    124.00     76.00  851.90   50.39  257.17
 2022-09-04/04:24:44  40      90282.26     805120.94     50.00     50.00  851.90   50.51  257.12
 2022-09-04/04:24:44 130      19409.72     191076.38     23.00     22.00  851.90   50.51  257.12
 2022-09-04/04:24:44 287       5133.33     100200.00     30.00     26.00  851.90   50.51  257.12
 2022-09-04/04:24:44 612          0.00       2000.00      0.00     79.00  851.90   50.51  257.12
 2022-09-04/04:24:46  40     100604.84     805120.94     50.00     50.00  851.90   50.62  257.07
 2022-09-04/04:24:46 130      24965.28     182187.50     23.00     22.00  851.90   50.62  257.07
 2022-09-04/04:24:46 287       5400.00      91666.66     30.00     26.00  851.90   50.62  257.07
 2022-09-04/04:24:46 612        181.82       2363.64    124.00     78.00  851.90   50.62  257.07
 2022-09-04/04:24:48  40      95443.55     846411.31     50.00     50.00  851.90   50.73  257.01
 2022-09-04/04:24:48 130      18298.61     182187.50     23.00     22.00  851.90   50.73  257.01
 2022-09-04/04:24:48 287       5400.00      95933.34     30.00     26.00  851.90   50.73  257.01
 2022-09-04/04:24:48 612        181.82       2727.27    124.00     77.00  851.90   50.73  257.01
 2022-09-04/04:24:50  40     131572.58    1011572.56     50.00     50.00  851.90   50.85  256.96
 2022-09-04/04:24:50 130      19409.72     182187.50     23.00     22.00  851.90   50.85  256.96
 2022-09-04/04:24:50 287       5133.33      91666.66     30.00     26.00  851.90   50.85  256.96
 2022-09-04/04:24:50 612        181.82       3636.36    124.00     76.00  851.90   50.85  256.96
 2022-09-04/04:24:52  40     116088.71     681250.00     50.00     50.00  852.00   50.96  256.90
 2022-09-04/04:24:52 130      20520.83     173298.61     23.00     22.00  852.00   50.96  256.90
 2022-09-04/04:24:52 287       2533.33      91666.66     34.00     26.00  852.00   50.96  256.90
 2022-09-04/04:24:52 612        363.64       2727.27    101.00     77.00  852.00   50.96  256.90
 2022-09-04/04:24:54  40     138024.19     552217.75     50.00     50.00  852.00   51.08  256.85
 2022-09-04/04:24:54 130      19409.72     146631.94     23.00     22.00  852.00   51.08  256.85
 2022-09-04/04:24:54 287       2800.00      74600.00     33.00     26.00  852.00   51.08  256.85
 2022-09-04/04:24:54 612          0.00       2545.45      0.00     77.00  852.00   51.08  256.85
 2022-09-04/04:24:56  40     145766.12     681250.00     50.00     50.00  852.00   51.19  256.80
 2022-09-04/04:24:56 130      16493.05     155520.83     23.00     22.00  852.00   51.19  256.80
 2022-09-04/04:24:56 287       1866.67      74600.00     37.00     26.00  852.00   51.19  256.80
 2022-09-04/04:24:56 612          0.00       2545.45      0.00     77.00  852.00   51.19  256.80
 2022-09-04/04:24:58  40     170282.25     763830.62     50.00     50.00  852.00   51.31  256.74
 2022-09-04/04:24:58 130      16493.05     155520.83     23.00     22.00  852.00   51.31  256.74
 2022-09-04/04:24:58 287       1733.33      78866.66     38.00     26.00  852.00   51.31  256.74
 2022-09-04/04:24:58 612        181.82       2000.00    124.00     79.00  852.00   51.31  256.74
 2022-09-04/04:25:00  40     153508.06     805120.94     50.00     50.00  852.00   51.42  256.68
 2022-09-04/04:25:00 130      17326.39     164409.72     23.00     22.00  852.00   51.42  256.68
 2022-09-04/04:25:00 287       2800.00      87400.00     33.00     26.00  852.00   51.42  256.68
 2022-09-04/04:25:00 612          0.00       3454.55      0.00     76.00  852.00   51.42  256.68
 2022-09-04/04:25:02  40     161250.00     805120.94     50.00     50.00  852.00   51.53  256.63
 2022-09-04/04:25:02 130      17326.39     164409.72     23.00     22.00  852.00   51.53  256.63
 2022-09-04/04:25:02 287       2533.33      74600.00     34.00     26.00  852.00   51.53  256.63
 2022-09-04/04:25:02 612          0.00       2909.09      0.00     77.00  852.00   51.53  256.63
 2022-09-04/04:25:04  40     138024.19     614153.25     50.00     50.00  852.00   51.65  256.57
 2022-09-04/04:25:04 130      15659.72     104409.72     23.00     22.00  852.00   51.65  256.57
 2022-09-04/04:25:04 287       2266.67      45800.00     35.00     26.00  852.00   51.65  256.57
